ID,Population,FHBD,FasMetaPop,FasPop,FasPopUnrelated,FPED
M037926,CH,0.0328511713746477,0.105563544744643,0.141053621128602,NA,0
M037929,CH,0.0437012637365183,0.0974006969687849,0.13275967056826,NA,0
M037930,CH,0.0432929927113458,0.108892111494219,0.143979376987045,NA,0
M037942,CH,0.0400981767722935,0.0241136814834912,0.0622780533475061,NA,0
M037944,CH,0.0613805142709532,0.10098400549998,0.135746985585633,NA,0
M038012,CH,0.0563387103421405,0.0724033930690037,0.108585500679606,NA,0
M038091,CH,0.0423799204429317,0.0864076005316263,0.121857665785448,NA,0
M038092,CH,0.0425017862874364,0.135645295039554,0.168901239602658,NA,0
M038093,CH,0.0448260961841262,0.0842923855917302,0.119883644430836,NA,0
M038094,CH,0.0412706804824177,0.103470323612741,0.1378822091084,NA,0
M038096,CH,0.0505502586041265,0.0894704220587382,0.124974954366936,NA,0
M038154,CH,0.036467237165288,0.081736716538557,0.117337410668086,NA,0
M038155,CH,0.0520774737344529,0.0981779135249562,0.133260438638648,NA,0
M038156,CH,0.0496137744287214,0.0683106786733495,0.104678754274117,NA,0
M038157,CH,0.045425820787111,0.094077245176191,0.129272878299462,NA,0
M038169,CH,0.0893017708528709,0.112265585027695,0.146812346625026,NA,0.0625
M038183,CH,0.0606900505873318,0.112211535540612,0.147055222674827,NA,0
M038200,CH,0.126425853828834,0.154238290637307,0.187066575501111,NA,0.0625
M038321,CH,0.0425553400059874,0.0538324716758302,0.0907401057036401,NA,0
M038351,CH,0.0360482847895816,0.0613416361912679,0.0980582631908135,NA,0
M038353,CH,0.0379464596955527,0.0680765718147734,0.10444884996613,NA,0
M038355,CH,0.0514134301578675,0.111960084222766,0.146571340073038,NA,0
M038472,CH,0.0478100295978371,0.0517564134350055,0.0886658168896407,0.0409288317164373,0
M038481,CH,0.0556889502871884,0.0868149611584112,0.122436128761067,NA,0
M038482,CH,0.0271501133966229,0.0370812046609581,0.074489838059265,NA,0
M040627,CH,0.0356022242072764,0.0622156094097008,0.0987721856224982,NA,0
M040628,CH,0.0671176819637663,0.0951130055954013,0.130343534905342,NA,0
M040918,CH,0.0421997961000346,0.0539053419266247,0.0907553614224156,NA,0
M040919,CH,0.0508211721313637,0.0708102617407503,0.106975491197683,NA,0
M040920,CH,0.0423344782510153,0.0500256931239242,0.0868987108585418,NA,0
M043044,CH,0.265348944967357,0.276809522290497,0.30511532996691,NA,0.25
M043617,CH,0.0475460486510142,0.0539309726719465,0.0907921995799124,NA,0
M043618,CH,0.0566383297693894,0.0933951490667607,0.128766400910505,NA,0
M043619,CH,0.0609013119577697,0.0939465259483788,0.12924526650705,NA,0
M043620,CH,0.0821650766730814,0.104158083938855,0.139063093532684,0.0939796170791883,0
M043762,CH,0.0677985953272401,0.0851269144903859,0.120700945723417,0.0746160420344168,0
M043763,CH,0.0540329401098968,0.0703726931454415,0.106549717912375,NA,0
M043764,CH,0.0409311252331452,0.0446458671220737,0.0818336009881253,NA,0
M043765,CH,0.062647855384896,0.0723566815941285,0.108493705278181,NA,0
M043766,CH,0.0455011096090331,0.0574158341633522,0.0941004160913116,NA,0
M043767,CH,0.05509555273088,0.0793915502861422,0.11524194834964,NA,0
M047566,CH,0.2601809650684,0.285406023501876,0.313197801109242,NA,0.25
M047567,CH,0.269595525057637,0.29357353121896,0.321063610075292,NA,0.25
M047568,CH,0.345852218331118,0.379620188626631,0.403796347148353,NA,0.25
M047588,CH,0.220683352479891,0.227943583785979,0.258067060273498,NA,0.25
MA01,MA,0.0107703320476195,0.0350451161299159,0.0471841052800555,0.0471841052800555,NA
MA02,MA,0.0239904205633336,0.0465464550990112,0.0601059369109385,0.0601059369109385,NA
MA03,MA,0.0107619951080695,0.00504856323335197,0.0188728272870112,0.0188728272870112,NA
PT01,PT,0.0269593000281491,-0.0215419672460314,0.00202424415678415,0.00202424415678415,NA
PT02,PT,0.0248865277260967,-0.0146255667220094,0.0088903385106895,0.0088903385106895,NA
PT03,PT,0.134371372551492,0.101126428797817,0.121789704773174,0.121789704773174,NA
PT04,PT,0.0209330401489894,-0.0307419463501673,-0.00702003629049038,-0.00702003629049038,NA
