ID,Population,Sex,Included.in.UnrelatedSet,sample.longitude,sample.latitude
898350,CH,2,1,6.52596765936229,46.6266763691812
898630,CH,2,0,7.03291285104386,46.8904628863395
898887,CH,2,1,7.03291285104386,46.8904628863395
899009,CH,1,0,6.9572744865986,46.8339569917039
898335,CH,2,0,6.86457845,46.84849794
898199,CH,1,0,6.957353773,46.83388536
898379,CH,1,1,7.022607532,46.92334904
898194,CH,1,0,6.824711131,46.67907255
M022121,CH,1,1,7.021186869,46.8306819
M022090,CH,1,0,6.86457845,46.84849794
M026047,CH,1,0,6.532676218,46.61284885
M005002,CH,1,0,6.86457845,46.84849794
M005030,CH,1,1,6.880859807,46.74120658
M011644,CH,1,0,6.974868397,46.8822815
M011184,CH,1,1,7.095256665,46.84872128
M011743,CH,2,1,6.980723009,46.9096422
M011852,CH,1,1,6.880925512,46.77155832
M011769,CH,2,0,6.830499729,46.74189399
M022383,CH,1,1,7.129791454,46.97675124
M010956,CH,1,1,6.583804688,46.60254773
M011830,CH,1,0,6.552566182,46.67372912
889332,CH,1,0,6.810252306,46.7927991
889397,CH,1,0,6.960980711,46.85797257
889400,CH,1,1,6.889049665,46.8107197
M022117,CH,1,0,6.545128316,46.72832228
889262,CH,1,1,6.865377617,46.82639076
898156,CH,1,1,7.098245666,46.8736655
M011995,CH,1,0,6.896205957,46.87684431
M011867,CH,1,1,6.8962912,46.81501821
M022662,CH,1,1,6.581846992,46.66927496
M011332,CH,1,1,6.719783076,46.78112901
898613,CH,1,0,7.129791454,46.97675124
M011971,CH,1,0,6.831970438,46.81241908
M026271,CH,1,0,7.083168,46.990143
M001542,CH,1,0,6.9572744865986,46.8339569917039
M001670,CH,1,0,6.97398981806481,46.8199391247446
M003801,CH,1,1,6.9572744865986,46.8339569917039
M004207,CH,2,1,6.9572744865986,46.8339569917039
M004500,CH,2,1,6.7200304252841,46.7812385205119
M005013,CH,1,0,7.02313225046951,46.91491328347
M005025,CH,1,0,7.02313225046951,46.91491328347
M005026,CH,1,0,7.02313225046951,46.91491328347
M005170,CH,2,0,6.98117987446983,46.8929664989639
M005188,CH,1,0,6.98117987446983,46.8929664989639
M005219,CH,2,0,7.02313225046951,46.91491328347
M005220,CH,2,0,7.02313225046951,46.91491328347
M005221,CH,1,0,6.98117987446983,46.8929664989639
M005222,CH,1,0,6.98117987446983,46.8929664989639
M005238,CH,2,1,6.98117987446983,46.8929664989639
M005415,CH,2,1,6.8670782248886,46.8173653829332
M005447,CH,1,0,6.97931806144855,46.8051809766415
M005448,CH,1,0,7.02313225046951,46.91491328347
M005452,CH,2,0,7.02313225046951,46.91491328347
M005469,CH,2,1,6.90837346201792,46.8708203544548
M005472,CH,2,0,6.86542821921764,46.8265619337549
M005473,CH,1,0,7.02127777800684,46.8307901806985
M005673,CH,2,1,6.86444763120679,46.8484702959729
M006413,CH,1,0,6.90837346201792,46.8708203544548
M010969,CH,2,0,6.90837346201792,46.8708203544548
M011005,CH,1,0,6.89650557874618,46.8770526244646
M011008,CH,1,0,6.53153524773063,46.6123809613578
M011012,CH,1,0,6.8962912001562,46.8150182057466
M011019,CH,1,0,6.8962912001562,46.8150182057466
M011021,CH,2,0,6.95367583149537,46.8740527680069
M011023,CH,2,0,6.95367583149537,46.8740527680069
M011024,CH,1,0,7.03291285104386,46.8904628863395
M011060,CH,1,0,6.95561334711886,46.9110232954986
M011142,CH,1,0,6.95561334711886,46.9110232954986
M011145,CH,1,0,6.95561334711886,46.9110232954986
M011146,CH,1,0,6.95561334711886,46.9110232954986
M011147,CH,1,0,6.91607726539742,46.8379591093899
M011188,CH,1,0,6.95367583149537,46.8740527680069
M011681,CH,1,0,6.95367583149537,46.8740527680069
M011704,CH,2,0,6.95367583149537,46.8740527680069
M011705,CH,1,0,6.95367583149537,46.8740527680069
M011736,CH,1,0,6.8962912001562,46.8150182057466
M011740,CH,1,0,6.98059198199974,46.9096146857037
M011741,CH,2,0,6.91753187155268,46.8637469660947
M011816,CH,1,1,6.71952384872605,46.7819100182328
M011827,CH,1,1,6.97931806144855,46.8051809766415
M011997,CH,2,0,6.4756040479222,46.5188148120124
M011998,CH,1,0,7.02313225046951,46.91491328347
M012772,CH,2,1,6.57834123259671,46.7630321445809
M014481,CH,2,1,6.57834123259671,46.7630321445809
M014948,CH,2,1,6.9572744865986,46.8339569917039
M017312,CH,2,0,6.93094534238816,46.8348866264837
M022098,CH,2,0,6.93094534238816,46.8348866264837
M022100,CH,1,0,6.93094534238816,46.8348866264837
M022113,CH,1,0,6.93094534238816,46.8348866264837
M022135,CH,2,0,7.01361833211544,46.8629837775822
M022154,CH,2,0,6.8962912001562,46.8150182057466
M022155,CH,2,0,7.01741910490642,46.8683321349841
M022174,CH,1,0,7.01741910490642,46.8683321349841
M022177,CH,2,0,7.01741910490642,46.8683321349841
M022186,CH,1,0,7.01741910490642,46.8683321349841
M022193,CH,2,1,6.54966670851362,46.621996867297
M022581,CH,1,1,6.54540376098002,46.7282794560089
M022647,CH,2,1,6.81034597776921,46.7926287016098
M022673,CH,1,0,6.90898786818808,46.8537047006285
M022674,CH,2,0,6.57358953399884,46.7336332935678
M022680,CH,2,1,6.57358953399884,46.7336332935678
M022694,CH,2,0,6.57834123259671,46.7630321445809
M022855,CH,1,0,6.91753187155268,46.8637469660947
M022861,CH,2,0,6.91753187155268,46.8637469660947
M022865,CH,2,0,6.91753187155268,46.8637469660947
M022866,CH,2,0,6.91753187155268,46.8637469660947
M022875,CH,2,0,6.91753187155268,46.8637469660947
M022891,CH,2,0,6.54270433452613,46.6773314602446
M026075,CH,1,0,6.54270433452613,46.6773314602446
M026198,CH,1,0,6.54270433452613,46.6773314602446
M026200,CH,1,0,6.54270433452613,46.6773314602446
M026204,CH,1,0,6.86444763120679,46.8484702959729
M026251,CH,1,0,6.90651076657,46.8867517575384
M026260,CH,2,1,6.90651076657,46.8867517575384
M026262,CH,2,0,6.90651076657,46.8867517575384
M026265,CH,1,0,6.90651076657,46.8867517575384
M026276,CH,1,0,6.54966670851362,46.621996867297
M026357,CH,1,0,6.82170051731456,46.7595593750646
M026359,CH,1,0,6.82170051731456,46.7595593750646
M026360,CH,1,0,6.82170051731456,46.7595593750646
M026451,CH,1,0,6.82170051731456,46.7595593750646
M026459,CH,2,0,6.51978311384336,46.6947544784578
M026478,CH,1,0,6.87059406995173,46.8561921996257
M026583,CH,2,1,6.87059406995173,46.8561921996257
M026603,CH,2,0,6.87059406995173,46.8561921996257
M026604,CH,2,0,6.87059406995173,46.8561921996257
M026605,CH,1,0,6.87059406995173,46.8561921996257
M026606,CH,2,0,6.87059406995173,46.8561921996257
M026607,CH,1,0,6.87059406995173,46.8561921996257
M026611,CH,1,0,6.91753187155268,46.8637469660947
M026612,CH,1,0,6.86444763120679,46.8484702959729
M026629,CH,1,0,7.02127777800684,46.8307901806985
M026825,CH,1,0,7.02127777800684,46.8307901806985
M026832,CH,1,0,7.02127777800684,46.8307901806985
M026960,CH,1,0,6.5821086125073,46.6692589361246
M026961,CH,2,0,7.03291285104386,46.8904628863395
M026962,CH,1,0,7.03291285104386,46.8904628863395
M026963,CH,2,0,6.54966670851362,46.621996867297
M026964,CH,2,0,6.54966670851362,46.621996867297
M026985,CH,2,0,6.54966670851362,46.621996867297
M026986,CH,2,0,6.54966670851362,46.621996867297
M027889,CH,2,1,6.54966670851362,46.621996867297
M027954,CH,1,0,6.56280029800517,46.6067872103487
M027970,CH,2,0,6.91753187155268,46.8637469660947
M028838,CH,2,1,7.01302121099929,46.9268939847725
M031523,CH,1,0,7.01302121099929,46.9268939847725
M031524,CH,1,1,6.58579860016168,46.5968383346229
M031532,CH,1,0,7.02127777800684,46.8307901806985
M031534,CH,2,0,6.90837346201792,46.8708203544548
M031535,CH,2,1,6.86444763120679,46.8484702959729
M031536,CH,2,0,6.96090251180602,46.8579182661176
M031537,CH,2,0,6.94065825500337,46.8788454384307
M031538,CH,2,1,6.57358953399884,46.7336332935678
M031555,CH,2,1,6.94065825500337,46.8788454384307
M031559,CH,1,0,7.03273487369728,46.8810080726158
M031560,CH,1,0,6.91753187155268,46.8637469660947
M031562,CH,2,0,6.91753187155268,46.8637469660947
